X Y Z
96.256400 47.877700 2.000000
96.190500 47.887900 2.000000
96.124600 47.898100 2.000000
96.058700 47.908400 2.000000
95.992900 47.918700 2.000000
95.927000 47.929100 2.000000
95.861200 47.939600 2.000000
95.795400 47.950200 2.000000
95.729600 47.960900 2.000000
95.663800 47.971600 2.000000
95.598000 47.982400 2.000000
95.532200 47.993200 2.000000
95.466500 48.004200 2.000000
95.400700 48.015200 2.000000
95.335000 48.026300 2.000000
95.269200 48.037500 2.000000
95.203500 48.048700 2.000000
95.137800 48.060000 2.000000
95.072100 48.071400 2.000000
95.006500 48.082800 2.000000
94.940800 48.094400 2.000000
94.875100 48.106000 2.000000
94.809500 48.117700 2.000000
94.743900 48.129400 2.000000
94.678300 48.141200 2.000000
94.612700 48.153100 2.000000
94.547100 48.165100 2.000000
94.481500 48.177200 2.000000
94.416000 48.189300 2.000000
94.350400 48.201500 2.000000
94.284900 48.213800 2.000000
94.219400 48.226100 2.000000
94.153900 48.238500 2.000000
94.088400 48.251000 2.000000
94.022900 48.263600 2.000000
93.957500 48.276200 2.000000
93.892000 48.289000 2.000000
93.826600 48.301800 2.000000
93.761200 48.314600 2.000000
93.695800 48.327600 2.000000
93.630400 48.340600 2.000000
93.565100 48.353700 2.000000
93.499700 48.366900 2.000000
93.434400 48.380100 2.000000
93.369000 48.393400 2.000000
93.303700 48.406800 2.000000
93.238500 48.420300 2.000000
93.173200 48.433900 2.000000
93.107900 48.447500 2.000000
93.042700 48.461200 2.000000
92.977400 48.475000 2.000000
92.912200 48.488800 2.000000
92.847000 48.502700 2.000000
92.781900 48.516700 2.000000
92.716700 48.530800 2.000000
92.651500 48.545000 2.000000
92.586400 48.559200 2.000000
92.521300 48.573500 2.000000
92.456200 48.587900 2.000000
92.391100 48.602400 2.000000
92.326100 48.616900 2.000000
92.261000 48.631500 2.000000
92.196000 48.646200 2.000000
92.131000 48.661000 2.000000
92.066000 48.675800 2.000000
92.001000 48.690700 2.000000
91.936000 48.705700 2.000000
91.871100 48.720800 2.000000
91.806200 48.735900 2.000000
