X Y Z
77.158564 55.731669 2.000000
73.500381 56.626973 2.000000
72.172075 52.804804 2.000000
71.746436 54.379061 2.000000
71.022079 56.807879 2.000000
76.647147 51.598805 2.000000
74.478886 55.738693 2.000000
75.373626 56.398284 2.000000
69.934002 52.688532 2.000000
74.328771 59.600743 2.000000
67.543738 57.590280 2.000000
77.700966 56.132922 2.000000
75.728607 54.521693 2.000000
73.665801 51.807159 2.000000
66.936870 59.537297 2.000000
70.961015 55.381616 2.000000
69.702773 52.557591 2.000000
73.286787 54.638068 2.000000
74.888413 58.223815 2.000000
74.663349 57.621502 2.000000
78.380505 53.742519 2.000000
73.428795 60.383069 2.000000
77.333719 52.759409 2.000000
72.549534 61.138963 2.000000
74.957437 57.690289 2.000000
72.726846 55.993097 2.000000
74.191257 56.427478 2.000000
73.145664 57.460496 2.000000
71.185985 58.861288 2.000000
81.909834 51.974340 2.000000
74.086138 55.065130 2.000000
74.793308 57.525772 2.000000
75.293764 60.953220 2.000000
73.532663 60.863557 2.000000
65.869706 62.279457 2.000000
73.975086 60.782430 2.000000
69.137573 55.097490 2.000000
73.182415 57.579586 2.000000
73.541306 60.925345 2.000000
67.343939 60.634357 2.000000
72.612046 57.142754 2.000000
68.121454 59.304446 2.000000
65.240176 59.781882 2.000000
67.953982 58.038474 2.000000
72.020593 61.428214 2.000000
71.790034 55.878784 2.000000
70.754092 61.821448 2.000000
73.830791 56.887610 2.000000
71.460661 53.384769 2.000000
73.283523 52.848653 2.000000
74.321589 58.555865 2.000000
79.175255 54.911593 2.000000
71.654714 63.648963 2.000000
75.485169 56.207564 2.000000
72.531302 58.344398 2.000000
72.653768 56.284659 2.000000
71.488339 53.628843 2.000000
72.110270 59.815462 2.000000
70.971242 53.662647 2.000000
74.567696 59.643975 2.000000
69.372855 57.751099 2.000000
66.997592 55.559370 2.000000
69.834966 62.363562 2.000000
69.478790 60.641741 2.000000
69.731251 59.507743 2.000000
70.871013 61.425970 2.000000
69.639766 54.132115 2.000000
67.047353 57.297068 2.000000
67.395120 60.166436 2.000000
69.694196 66.102720 2.000000
65.827556 59.633000 2.000000
67.606141 57.585196 2.000000
71.363558 52.132586 2.000000
71.599078 64.860722 2.000000
69.477685 59.974824 2.000000
73.862265 58.747039 2.000000
68.994119 52.455191 2.000000
72.609472 58.986495 2.000000
67.598048 59.749390 2.000000
68.834659 57.828022 2.000000
72.354273 55.441853 2.000000
73.627046 55.307742 2.000000
68.446796 65.313439 2.000000
73.766764 59.881312 2.000000
67.512909 58.044583 2.000000
70.504226 59.788870 2.000000
69.961787 59.627902 2.000000
69.541175 55.438464 2.000000
68.584868 62.552472 2.000000
65.979397 59.284033 2.000000
67.575238 60.230951 2.000000
68.818700 64.373381 2.000000
71.454549 56.050091 2.000000
71.898684 57.705844 2.000000
68.104311 61.015657 2.000000
68.310358 62.797167 2.000000
67.412370 58.306260 2.000000
67.717187 58.510684 2.000000
72.934275 62.138489 2.000000
74.716932 67.099633 2.000000
66.445449 60.552657 2.000000
65.959499 58.053182 2.000000
67.548452 57.259235 2.000000
66.233538 60.042647 2.000000
65.689745 63.046681 2.000000
66.537239 68.993807 2.000000
67.887047 60.825953 2.000000
65.305876 65.773075 2.000000
72.501102 61.590548 2.000000
65.052992 61.376701 2.000000
65.679907 65.176766 2.000000
71.422684 61.121117 2.000000
61.636773 57.929552 2.000000
70.960083 64.563551 2.000000
72.175309 56.193961 2.000000
69.703357 64.061746 2.000000
63.774693 61.036686 2.000000
69.522227 60.203306 2.000000
63.095314 60.173806 2.000000
67.620984 60.751883 2.000000
66.863586 59.912464 2.000000
68.385981 62.614164 2.000000
67.542920 60.103253 2.000000
68.684462 55.614752 2.000000
69.789705 61.421311 2.000000
68.428881 64.350603 2.000000
62.402653 55.592398 2.000000
69.033712 61.538049 2.000000
68.674131 60.218519 2.000000
70.107961 64.448317 2.000000
